Chassis|Model|MUL ID|Combined|Clan|Source|File Location|Weight|Intro Date|Experimental year|Advanced year|Standard year|Extinct Year|Unit Type|Role|BV|Cost|Rules|Engine Name|Internal Structure|Myomer|Cockpit Type|Gyro Type|Armor Types|Equipment|Manufacturer|Factory|Targeting|Comms|Armor|JJ|Engine|Chassis|Capabilities|Overview|History|Deployment|Notes
Oni Battle Armor|[Narc](Sqd6)|9102|Oni Battle Armor [Narc](Sqd6)|false|TRO: 3145 Draconis Combine|data\mechfiles\battlearmor\3145\Kurita\Oni BA [Narc] (Sqd6).blk|6.0|3134|||3134|-|Battlearmor|Ambusher|517|3510000|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Fire Resistant,|BAJumpJet,BAHeavyBattleClawVibro,BABasicManipulator,BAExtendedLifeSupport,IS BA ECM,CLBACompactNarc|Luthien Armor Works,Luthien Armor Works|Luthien,Savinsville|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Zou Heavy Battle Armor|(C3)(Sqd4)|6370|Zou Heavy Battle Armor (C3)(Sqd4)|false|TRO: 3145 Draconis Combine|data\mechfiles\battlearmor\3145\Kurita\Zou Heavy BA (C3) (Sqd4).blk|4.0|3113||3113||-|Battlearmor|Ambusher|290|2242000|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Laser Reflective (Reflec/Glazed),|BAJumpJet,BABattleClaw,CLBAMedium Recoilless Rifle,BattleArmorC3|Ishikawajima-Harima BAI|Luthien|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Zou Heavy Battle Armor|(C3)(Sqd5)|8742|Zou Heavy Battle Armor (C3)(Sqd5)|false|TRO: 3145 Draconis Combine|data\mechfiles\battlearmor\3145\Kurita\Zou Heavy BA (C3) (Sqd5).blk|5.0|3113||3113||-|Battlearmor|Ambusher|391|2802500|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Laser Reflective (Reflec/Glazed),|BAJumpJet,BABattleClaw,CLBAMedium Recoilless Rifle,BattleArmorC3|Ishikawajima-Harima BAI|Luthien|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Zou Heavy Battle Armor|(C3)(Sqd6)|9105|Zou Heavy Battle Armor (C3)(Sqd6)|false|TRO: 3145 Draconis Combine|data\mechfiles\battlearmor\3145\Kurita\Zou Heavy BA (C3) (Sqd6).blk|6.0|3113||3113||-|Battlearmor|Ambusher|502|3363000|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Laser Reflective (Reflec/Glazed),|BAJumpJet,BABattleClaw,CLBAMedium Recoilless Rifle,BattleArmorC3|Ishikawajima-Harima BAI|Luthien|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Zou Heavy Battle Armor|(Sqd4)|6369|Zou Heavy Battle Armor (Sqd4)|false|TRO: 3145 Draconis Combine|data\mechfiles\battlearmor\3145\Kurita\Zou Heavy BA (Sqd4).blk|4.0|3113||3113||-|Battlearmor|Ambusher|381|2140000|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Laser Reflective (Reflec/Glazed),|BAJumpJet,BABattleClaw,ISBAMediumLaser|Ishikawajima-Harima BAI|Luthien|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Zou Heavy Battle Armor|(Sqd5)|8741|Zou Heavy Battle Armor (Sqd5)|false|TRO: 3145 Draconis Combine|data\mechfiles\battlearmor\3145\Kurita\Zou Heavy BA (Sqd5).blk|5.0|3113||3113||-|Battlearmor|Ambusher|513|2675000|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Laser Reflective (Reflec/Glazed),|BAJumpJet,BABattleClaw,ISBAMediumLaser|Ishikawajima-Harima BAI|Luthien|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Zou Heavy Battle Armor|(Sqd6)|9104|Zou Heavy Battle Armor (Sqd6)|false|TRO: 3145 Draconis Combine|data\mechfiles\battlearmor\3145\Kurita\Zou Heavy BA (Sqd6).blk|6.0|3113||3113||-|Battlearmor|Ambusher|660|3210000|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Laser Reflective (Reflec/Glazed),|BAJumpJet,BABattleClaw,ISBAMediumLaser|Ishikawajima-Harima BAI|Luthien|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Amazon Battle Armor|[MRR](Sqd4)|6428|Amazon Battle Armor [MRR](Sqd4)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Amazon BA MRR (Sqd4).blk|4.0|3101|||3101|-|Battlearmor|Ambusher|328|2452000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Advanced,|BAJumpJet,BABattleClaw,CLBAMedium Recoilless Rifle|Foxx Infantry Systems|Royal Foxx|--|--|--|--|--|--|yes|yes|yes|yes|--
Amazon Battle Armor|[MRR](Sqd5)|8743|Amazon Battle Armor [MRR](Sqd5)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Amazon BA MRR (Sqd5).blk|5.0|3101|||3101|-|Battlearmor|Ambusher|441|3065000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Advanced,|BAJumpJet,BABattleClaw,CLBAMedium Recoilless Rifle|Foxx Infantry Systems|Royal Foxx|--|--|--|--|--|--|yes|yes|yes|yes|--
Amazon Battle Armor|[MRR](Sqd6)|9106|Amazon Battle Armor [MRR](Sqd6)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Amazon BA MRR (Sqd6).blk|6.0|3101|||3101|-|Battlearmor|Ambusher|568|3678000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Advanced,|BAJumpJet,BABattleClaw,CLBAMedium Recoilless Rifle|Foxx Infantry Systems|Royal Foxx|--|--|--|--|--|--|yes|yes|yes|yes|--
Amazon Battle Armor|[Support PPC](Sqd4)|6429|Amazon Battle Armor [Support PPC](Sqd4)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Amazon BA PPC (Sqd4).blk|4.0|3101|||3101|-|Battlearmor|Ambusher|288|2496000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Advanced,|BAJumpJet,BABattleClaw,ISBASupportPPC|Foxx Infantry Systems|Royal Foxx|--|--|--|--|--|--|yes|yes|yes|yes|--
Amazon Battle Armor|[Support PPC](Sqd5)|8744|Amazon Battle Armor [Support PPC](Sqd5)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Amazon BA PPC (Sqd5).blk|5.0|3101|||3101|-|Battlearmor|Ambusher|388|3120000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Advanced,|BAJumpJet,BABattleClaw,ISBASupportPPC|Foxx Infantry Systems|Royal Foxx|--|--|--|--|--|--|yes|yes|yes|yes|--
Amazon Battle Armor|[Support PPC](Sqd6)|9107|Amazon Battle Armor [Support PPC](Sqd6)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Amazon BA PPC (Sqd6).blk|6.0|3101|||3101|-|Battlearmor|Ambusher|498|3744000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Advanced,|BAJumpJet,BABattleClaw,ISBASupportPPC|Foxx Infantry Systems|Royal Foxx|--|--|--|--|--|--|yes|yes|yes|yes|--
Shen Long Battle Armor|[David Light Gauss](Sqd4)|6431|Shen Long Battle Armor [David Light Gauss](Sqd4)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA David (Sqd4).blk|4.0|3092|||3092|-|Battlearmor|Scout|350|2720000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|BADavidLightGaussRifle|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[David Light Gauss](Sqd5)|8745|Shen Long Battle Armor [David Light Gauss](Sqd5)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA David (Sqd5).blk|5.0|3092|||3092|-|Battlearmor|Scout|472|3400000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|BADavidLightGaussRifle|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[David Light Gauss](Sqd6)|9108|Shen Long Battle Armor [David Light Gauss](Sqd6)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA David (Sqd6).blk|6.0|3092|||3092|-|Battlearmor|Scout|607|4080000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|BADavidLightGaussRifle|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[Interdictor](Sqd4)|6435|Shen Long Battle Armor [Interdictor](Sqd4)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA Interdictor (Sqd4).blk|4.0|3092|||3092|-|Battlearmor|Scout|276|2620000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAFlamer,IS BA ECM|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[Interdictor](Sqd5)|8749|Shen Long Battle Armor [Interdictor](Sqd5)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA Interdictor (Sqd5).blk|5.0|3092|||3092|-|Battlearmor|Scout|371|3275000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAFlamer,IS BA ECM|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[Interdictor](Sqd6)|9112|Shen Long Battle Armor [Interdictor](Sqd6)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA Interdictor (Sqd6).blk|6.0|3092|||3092|-|Battlearmor|Scout|477|3930000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAFlamer,IS BA ECM|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[MG](Sqd4)|6432|Shen Long Battle Armor [MG](Sqd4)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA MG (Sqd4).blk|4.0|3092|||3092|-|Battlearmor|Scout|314|2440000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAMG|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[MG](Sqd5)|8746|Shen Long Battle Armor [MG](Sqd5)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA MG (Sqd5).blk|5.0|3092|||3092|-|Battlearmor|Scout|422|3050000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAMG|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[MG](Sqd6)|9109|Shen Long Battle Armor [MG](Sqd6)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA MG (Sqd6).blk|6.0|3092|||3092|-|Battlearmor|Scout|543|3660000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAMG|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[MRM](Sqd4)|6433|Shen Long Battle Armor [MRM](Sqd4)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA MRM (Sqd4).blk|4.0|3092|||3092|-|Battlearmor|Scout|352|2460000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|ISBAMRM5|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[MRM](Sqd5)|8747|Shen Long Battle Armor [MRM](Sqd5)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA MRM (Sqd5).blk|5.0|3092|||3092|-|Battlearmor|Scout|474|3075000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|ISBAMRM5|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[MRM](Sqd6)|9110|Shen Long Battle Armor [MRM](Sqd6)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA MRM (Sqd6).blk|6.0|3092|||3092|-|Battlearmor|Scout|610|3690000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|ISBAMRM5|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[Pop-Up Mine](Sqd4)|6436|Shen Long Battle Armor [Pop-Up Mine](Sqd4)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA Pop Up Mine (Sqd4).blk|4.0|3092||3092||-|Battlearmor|Scout|259|2406000|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAHeavyGrenadeLauncher,BAMineLauncher|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[Pop-Up Mine](Sqd5)|8750|Shen Long Battle Armor [Pop-Up Mine](Sqd5)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA Pop Up Mine (Sqd5).blk|5.0|3092||3092||-|Battlearmor|Scout|349|3007500|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAHeavyGrenadeLauncher,BAMineLauncher|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[Pop-Up Mine](Sqd6)|9113|Shen Long Battle Armor [Pop-Up Mine](Sqd6)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA Pop Up Mine (Sqd6).blk|6.0|3092||3092||-|Battlearmor|Scout|448|3609000|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|CLBAHeavyGrenadeLauncher,BAMineLauncher|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[SRM](Sqd4)|6434|Shen Long Battle Armor [SRM](Sqd4)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA SRM (Sqd4).blk|4.0|3092|||3092|-|Battlearmor|Scout|404|2368000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|ISBASRM4|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[SRM](Sqd5)|8748|Shen Long Battle Armor [SRM](Sqd5)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA SRM (Sqd5).blk|5.0|3092|||3092|-|Battlearmor|Scout|544|2960000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|ISBASRM4|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Shen Long Battle Armor|[SRM](Sqd6)|9111|Shen Long Battle Armor [SRM](Sqd6)|false|TRO: 3145 Capellan Confederation|data\mechfiles\battlearmor\3145\Liao\Shen Long BA SRM (Sqd6).blk|6.0|3092|||3092|-|Battlearmor|Scout|700|3552000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|ISBASRM4|Hellespont Industrials|Sian|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(David)(Sqd4)|6476|Leonidas Battle Armor (David)(Sqd4)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (David LGR) (Sqd4).blk|4.0|3096|||3096|-|Battlearmor|Ambusher|187|4750320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,BADavidLightGaussRifle,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(David)(Sqd5)|8751|Leonidas Battle Armor (David)(Sqd5)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (David LGR) (Sqd5).blk|5.0|3096|||3096|-|Battlearmor|Ambusher|252|5937900|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,BADavidLightGaussRifle,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(David)(Sqd6)|9114|Leonidas Battle Armor (David)(Sqd6)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (David LGR) (Sqd6).blk|6.0|3096|||3096|-|Battlearmor|Ambusher|324|7125480|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,BADavidLightGaussRifle,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(FireDrake)(Sqd4)|6478|Leonidas Battle Armor (FireDrake)(Sqd4)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (FireDrake) (Sqd4).blk|4.0|3096|||3096|-|Battlearmor|Ambusher|147|4666320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,ISBAFireDrakeNeedler,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(FireDrake)(Sqd5)|8753|Leonidas Battle Armor (FireDrake)(Sqd5)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (FireDrake) (Sqd5).blk|5.0|3096|||3096|-|Battlearmor|Ambusher|198|5832900|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,ISBAFireDrakeNeedler,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(FireDrake)(Sqd6)|9116|Leonidas Battle Armor (FireDrake)(Sqd6)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (FireDrake) (Sqd6).blk|6.0|3096|||3096|-|Battlearmor|Ambusher|255|6999480|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,ISBAFireDrakeNeedler,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(Sensor)(Sqd4)|6480|Leonidas Battle Armor (Sensor)(Sqd4)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (ImpSensors) (Sqd4).blk|4.0|3096|||3096|-|Battlearmor|Scout|138|4800320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,ISImprovedSensors,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(Sensor)(Sqd5)|8755|Leonidas Battle Armor (Sensor)(Sqd5)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (ImpSensors) (Sqd5).blk|5.0|3096|||3096|-|Battlearmor|Scout|186|6000400|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,ISImprovedSensors,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(Sensor)(Sqd6)|9118|Leonidas Battle Armor (Sensor)(Sqd6)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (ImpSensors) (Sqd6).blk|6.0|3096|||3096|-|Battlearmor|Scout|239|7200480|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,ISImprovedSensors,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(TAG)(Sqd4)|6479|Leonidas Battle Armor (TAG)(Sqd4)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (Light TAG) (Sqd4).blk|4.0|3096|||3096|-|Battlearmor|Scout|131|4820320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,CLBALightTAG,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(TAG)(Sqd5)|8754|Leonidas Battle Armor (TAG)(Sqd5)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (Light TAG) (Sqd5).blk|5.0|3096|||3096|-|Battlearmor|Scout|176|6025400|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,CLBALightTAG,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(TAG)(Sqd6)|9117|Leonidas Battle Armor (TAG)(Sqd6)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (Light TAG) (Sqd6).blk|6.0|3096|||3096|-|Battlearmor|Scout|227|7230480|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,CLBALightTAG,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(MG)(Sqd4)|6477|Leonidas Battle Armor (MG)(Sqd4)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (MG) (Sqd4).blk|4.0|3096|||3096|-|Battlearmor|Ambusher|171|4680320|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,CLBAMG,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(MG)(Sqd5)|8752|Leonidas Battle Armor (MG)(Sqd5)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (MG) (Sqd5).blk|5.0|3096|||3096|-|Battlearmor|Ambusher|230|5850400|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,CLBAMG,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Leonidas Battle Armor|(MG)(Sqd6)|9115|Leonidas Battle Armor (MG)(Sqd6)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Leonidas BA (MG) (Sqd6).blk|6.0|3096|||3096|-|Battlearmor|Ambusher|296|7020480|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Standard),|BAJumpJet,CLBAMG,BAAPMount,InfantryAssaultRifle,BAHeavyBattleClaw,BAISAngelECMSuite|Etna Foundries|Oriente|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Ogre Battle Armor|(Sqd5)|8756|Ogre Battle Armor (Sqd5)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Ogre BA  (Sqd5).blk|5.0|3091|||3091|-|Battlearmor|Juggernaut|376|2875000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,ISBASRM2,BAHeavyBattleClaw|Tvastar Enterprises|Regulus|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Ogre Battle Armor|(Sqd6)|9119|Ogre Battle Armor (Sqd6)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Ogre BA  (Sqd6).blk|6.0|3091|||3091|-|Battlearmor|Juggernaut|484|3450000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,ISBASRM2,BAHeavyBattleClaw|Tvastar Enterprises|Regulus|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
Ogre Battle Armor|(Interdictor)(Sqd5)|8757|Ogre Battle Armor (Interdictor)(Sqd5)|false|TRO: 3145 Free Worlds League|data\mechfiles\battlearmor\3145\Marik\Ogre BA (Interdictor)  (Sqd5).blk|5.0|3091|||3091|-|Battlearmor|Juggernaut|460|3475000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Mimetic,|BAJumpJet,ISBASRM2,BAHeavyBattleClaw,IS BA ECM|Tvastar Enterprises|Regulus|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|yes|yes|yes|yes|--
